id,sourceName,locality,economicUnits,permanentEstablishments,temporaryEstablishments,economicHouseholds,personsEngaged,permanentPersonsEngaged,temporaryPersonsEngaged,economicHouseholdPersonsEngaged,xlsxRow,pdfPage,printedPage
district-rajbari,Rajbari,Total,96715,46497,3208,47010,179569,120435,3964,55170,98,145,121
district-rajbari,Rajbari,Rural,74668,31945,1756,40967,125714,75933,2062,47719,99,145,121
district-rajbari,Rajbari,Urban,22047,14552,1452,6043,53855,44502,1902,7451,100,145,121
district-shariatpur,Shariatpur,Total,86298,45891,3278,37129,156387,108149,3962,44276,101,145,121
district-shariatpur,Shariatpur,Rural,55468,25784,1329,28355,88466,53556,1615,33295,102,145,121
district-shariatpur,Shariatpur,Urban,30830,20107,1949,8774,67921,54593,2347,10981,103,145,121
district-tangail,Tangail,Total,280330,139442,10307,130581,642920,467933,13085,161902,104,145,121
district-tangail,Tangail,Rural,200718,91299,5056,104363,430968,296373,6350,128245,105,145,121
district-tangail,Tangail,Urban,79612,48143,5251,26218,211952,171560,6735,33657,106,145,121
division-khulna,Khulna Division,Total,1489445,707676,61868,719901,2912614,1968621,79143,864850,107,145,121
division-khulna,Khulna Division,Rural,1042134,439081,30357,572696,1767375,1044950,38065,684360,108,145,121
division-khulna,Khulna Division,Urban,447311,268595,31511,147205,1145239,923671,41078,180490,109,145,121
district-bagerhat,Bagerhat,Total,131436,64785,4067,62584,256216,177074,5190,73952,110,145,121
district-bagerhat,Bagerhat,Rural,93172,42493,2177,48502,156755,96865,2826,57064,111,145,121
district-bagerhat,Bagerhat,Urban,38264,22292,1890,14082,99461,80209,2364,16888,112,145,121
district-chuadanga,Chuadanga,Total,107241,47865,3831,55545,188443,118732,5038,64673,113,145,121
district-chuadanga,Chuadanga,Rural,75278,29514,1978,43786,116768,63375,2616,50777,114,145,121
district-chuadanga,Chuadanga,Urban,31963,18351,1853,11759,71675,55357,2422,13896,115,145,121
district-jashore,Jashore,Total,257332,139649,10078,107605,542472,403185,13125,126162,116,145,121
district-jashore,Jashore,Rural,181993,89534,4925,87534,317622,209101,6345,102176,117,145,121
district-jashore,Jashore,Urban,75339,50115,5153,20071,224850,194084,6780,23986,118,145,121
district-jhenaidah,Jhenaidah,Total,167487,74150,8805,84532,302437,185785,11402,105250,119,145,121
